2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Gałęzów 4/a, Kotowo 1, 2, od 4 do 6, 6/A, 7, 7/A, 8, 8/A, 8C, 10, 10/A, 15, 15/A, 16, 16/A, od 17 do 19, 19/B, 19A, 21, 21A, od 22 do 24, 24/A, 25, 25/A, 26/A, 27, 27/A, 28, 29, 29/A, 29/b, 30/A, od 31 do 33, 33/A, 103/9, 159/2, 4/22, Kotowo-50 (GPO) (MDZ).
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Luboń od 1 do 3, od 5 do 8, 8A, 12, 12/A, 144/2, 144/3, 144/4, 96/1, 96/4, Luboń 4, 12E, 96/3.
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Cieszanowo 1, Grądzień 1, 1B, od 2 do 5, 458, 458/1, Wałdowo 2, 4, 5.
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Polnica 6, Polniczka 1, 2, 2/A, 3, 4, 4 B, 4/A, 5, 5/A, od 6 do 8, 5100/15, Polnica-624 (GPO) (MDZ).
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Międzybórz 13, 24, 26/a, 74, od 76 do 80.
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Podamirowo 144 M, 144P, 19/12, 19/14, 19/15, 19/16, 19/2.
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Barzowice , 19/2, Darłowiec FERMA, 71/21, Sińczyca od 1 do 3, od 5 do 7, 8A, 8B, od 9 do 13, 13A, 13B, 13C, 14, 14B, 14D, od 15 do 18, 18A, 19A, od 20 do 22, 23A, 115/6, 115/8, 190 (MDZ), 193, 193 (MDZ), 48/1, 48/2, 57/1, 61, DZ. 49, Sińczyca-47/2.
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Dalimierz 1, 3, 4, 6, 7, Gołogóra 26, Gostkowo 1, 60/2, Lipki 1, Pieczyska 1, Stare Wiatrowo 1, 2.
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Brzeźniki 1A, 3, 3c, 4, 5, 463/7, Kępa Świeszyńska 1A, 2, 3, 3A, 3B, 4, 4A, 5 L, 5A, 5F, od 6 do 12, 12B, 12C, 13, 15, 30, 731, 418/8, 448, 908/5, Olszak 1, 2, 2A, od 3 do 5, 5A, 7, 534, Świeszyno 577, 466/7 (MDZ), Włoki 6, 7, 7A, 8, 8A, 9, 10, od 12 do 16, 16A, od 17 do 21, 23, 25, 28, 33, 35, 38, 425/19, 432/2, 432/5, 500/10, 500/11, 500/13, 577/3, 577/4, 588/14, 617/20, 617/21, 617/3 (MDZ), 617/7, 619/1, 624/3, b.d..
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Solno 1.
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Drzonowo 111, Głąb 1, 1A.
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Kędrzyno , 41/9, 41/7.
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Gołańcz Pomorska 90.
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Chocielewko 43, 43C, 44, 45, 45B, 46, 46/A, 47, 48, T, 427/4 (MDZ), Leśnice 10, 11, T.
2025-10-14 17:47:58 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Biała 15, 16, 20, 21, Biała-169/1.
